Experiment	Frequency Sweep	
Date	04.05.2017 16:10:16	
User		
f_res (Hz)	31324.0835	
Q	51857	
Phase (deg)	-616.12	
Amp/Exc (nm/mV)	0.483608	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-2.02561E+0	31.3237E+3	298.964E-12	109.551E+0
-2.00694E+0	31.3237E+3	296.165E-12	115.344E+0
-1.98827E+0	31.3237E+3	317.215E-12	112.453E+0
-1.96960E+0	31.3237E+3	316.545E-12	112.447E+0
-1.95094E+0	31.3237E+3	310.565E-12	115.395E+0
-1.93227E+0	31.3237E+3	337.622E-12	108.179E+0
-1.91360E+0	31.3237E+3	295.807E-12	112.616E+0
-1.89493E+0	31.3237E+3	316.940E-12	112.529E+0
-1.87626E+0	31.3237E+3	320.221E-12	112.451E+0
-1.85759E+0	31.3237E+3	321.769E-12	111.649E+0
-1.83892E+0	31.3237E+3	313.512E-12	113.675E+0
-1.82025E+0	31.3237E+3	338.463E-12	113.720E+0
-1.80158E+0	31.3237E+3	345.320E-12	109.240E+0
-1.78291E+0	31.3237E+3	322.028E-12	112.785E+0
-1.76424E+0	31.3237E+3	350.199E-12	112.551E+0
-1.74557E+0	31.3237E+3	331.951E-12	111.906E+0
-1.72690E+0	31.3237E+3	355.651E-12	112.495E+0
-1.70824E+0	31.3237E+3	349.535E-12	109.909E+0
-1.68957E+0	31.3237E+3	344.893E-12	112.073E+0
-1.67090E+0	31.3237E+3	353.644E-12	109.864E+0
-1.65223E+0	31.3237E+3	366.320E-12	113.806E+0
-1.63356E+0	31.3237E+3	359.140E-12	109.848E+0
-1.61489E+0	31.3237E+3	345.558E-12	107.664E+0
-1.59622E+0	31.3237E+3	365.264E-12	112.434E+0
-1.57755E+0	31.3237E+3	373.318E-12	109.211E+0
-1.55888E+0	31.3237E+3	370.998E-12	109.420E+0
-1.54021E+0	31.3237E+3	395.672E-12	112.777E+0
-1.52154E+0	31.3237E+3	374.204E-12	110.907E+0
-1.50287E+0	31.3237E+3	374.517E-12	110.890E+0
-1.48420E+0	31.3237E+3	397.343E-12	118.789E+0
-1.46554E+0	31.3237E+3	392.337E-12	102.381E+0
-1.44687E+0	31.3237E+3	412.824E-12	112.594E+0
-1.42820E+0	31.3237E+3	391.228E-12	108.265E+0
-1.40953E+0	31.3237E+3	428.504E-12	107.981E+0
-1.39086E+0	31.3237E+3	388.891E-12	112.120E+0
-1.37219E+0	31.3237E+3	423.964E-12	104.654E+0
-1.35352E+0	31.3237E+3	424.997E-12	108.459E+0
-1.33485E+0	31.3237E+3	398.661E-12	107.269E+0
-1.31618E+0	31.3237E+3	453.270E-12	106.231E+0
-1.29751E+0	31.3237E+3	438.262E-12	110.918E+0
-1.27884E+0	31.3237E+3	444.735E-12	106.599E+0
-1.26017E+0	31.3237E+3	455.436E-12	111.177E+0
-1.24150E+0	31.3237E+3	438.190E-12	105.340E+0
-1.22284E+0	31.3237E+3	481.596E-12	108.513E+0
-1.20417E+0	31.3237E+3	472.302E-12	108.814E+0
-1.18550E+0	31.3237E+3	437.797E-12	107.805E+0
-1.16683E+0	31.3237E+3	489.178E-12	106.949E+0
-1.14816E+0	31.3237E+3	475.055E-12	109.385E+0
-1.12949E+0	31.3237E+3	465.949E-12	106.628E+0
-1.11082E+0	31.3237E+3	501.776E-12	107.208E+0
-1.09215E+0	31.3237E+3	496.457E-12	106.962E+0
-1.07348E+0	31.3237E+3	511.456E-12	107.820E+0
-1.05481E+0	31.3237E+3	512.767E-12	108.696E+0
-1.03614E+0	31.3237E+3	464.168E-12	104.236E+0
