shift	center	amp	phase
1.11316E+0	31.3223E+3	159.695E-12	-60.5947E+0
1.10384E+0	31.3223E+3	164.494E-12	-63.0905E+0
1.09453E+0	31.3223E+3	154.048E-12	-61.4572E+0
1.08521E+0	31.3223E+3	158.950E-12	-59.7086E+0
1.07590E+0	31.3223E+3	162.660E-12	-60.2975E+0
1.06658E+0	31.3223E+3	171.363E-12	-64.0739E+0
1.05727E+0	31.3223E+3	169.680E-12	-69.9867E+0
1.04795E+0	31.3223E+3	156.952E-12	-64.0293E+0
1.03864E+0	31.3223E+3	157.727E-12	-61.2396E+0
1.02932E+0	31.3223E+3	169.252E-12	-63.6419E+0
1.02001E+0	31.3223E+3	171.304E-12	-62.0883E+0
1.01069E+0	31.3223E+3	161.398E-12	-60.8835E+0
1.00138E+0	31.3223E+3	163.982E-12	-62.6021E+0
992.063E-3	31.3223E+3	175.927E-12	-55.0043E+0
982.748E-3	31.3223E+3	186.832E-12	-57.3388E+0
973.433E-3	31.3223E+3	182.052E-12	-56.8720E+0
964.118E-3	31.3223E+3	173.533E-12	-55.8008E+0
954.803E-3	31.3223E+3	176.549E-12	-58.7678E+0
945.488E-3	31.3223E+3	177.672E-12	-53.9023E+0
936.173E-3	31.3223E+3	171.002E-12	-58.6447E+0
926.857E-3	31.3223E+3	190.625E-12	-61.9102E+0
917.542E-3	31.3223E+3	190.117E-12	-64.4386E+0
908.227E-3	31.3223E+3	185.410E-12	-57.2335E+0
898.912E-3	31.3223E+3	186.186E-12	-56.3361E+0
889.597E-3	31.3223E+3	180.912E-12	-56.2086E+0
880.282E-3	31.3223E+3	181.312E-12	-59.8763E+0
870.967E-3	31.3223E+3	180.003E-12	-63.6179E+0
861.652E-3	31.3223E+3	181.311E-12	-63.9037E+0
852.337E-3	31.3223E+3	179.048E-12	-63.0862E+0
843.022E-3	31.3223E+3	187.754E-12	-66.7774E+0
833.707E-3	31.3223E+3	221.185E-12	-63.9127E+0
824.392E-3	31.3223E+3	219.153E-12	-54.5314E+0
815.077E-3	31.3223E+3	207.767E-12	-57.2882E+0
805.762E-3	31.3223E+3	201.549E-12	-55.4174E+0
796.446E-3	31.3223E+3	205.157E-12	-59.6641E+0
787.131E-3	31.3223E+3	212.840E-12	-58.8751E+0
777.816E-3	31.3223E+3	227.695E-12	-61.3218E+0
768.501E-3	31.3223E+3	243.949E-12	-58.2419E+0
759.186E-3	31.3223E+3	241.797E-12	-56.3541E+0
749.871E-3	31.3223E+3	238.802E-12	-56.7931E+0
740.556E-3	31.3223E+3	234.767E-12	-58.7433E+0
731.241E-3	31.3223E+3	233.660E-12	-57.3862E+0
721.926E-3	31.3223E+3	242.056E-12	-58.7587E+0
712.611E-3	31.3223E+3	231.255E-12	-57.8730E+0
703.296E-3	31.3223E+3	246.442E-12	-58.2742E+0
693.981E-3	31.3223E+3	245.488E-12	-58.9155E+0
684.666E-3	31.3223E+3	240.654E-12	-53.8344E+0
675.350E-3	31.3223E+3	231.095E-12	-59.4118E+0
666.035E-3	31.3223E+3	260.233E-12	-66.7158E+0
656.720E-3	31.3223E+3	282.739E-12	-53.4222E+0
647.405E-3	31.3223E+3	241.384E-12	-55.4715E+0
638.090E-3	31.3223E+3	268.008E-12	-59.8424E+0
628.775E-3	31.3223E+3	267.238E-12	-53.0737E+0
619.460E-3	31.3223E+3	252.100E-12	-57.9427E+0
610.145E-3	31.3223E+3	271.402E-12	-59.8590E+0
600.830E-3	31.3223E+3	287.410E-12	-54.7505E+0
591.515E-3	31.3223E+3	279.725E-12	-55.1595E+0
582.200E-3	31.3223E+3	275.144E-12	-58.7326E+0
572.885E-3	31.3223E+3	294.421E-12	-55.7653E+0
563.570E-3	31.3223E+3	284.663E-12	-56.9839E+0
554.255E-3	31.3223E+3	309.408E-12	-60.4647E+0
544.939E-3	31.3223E+3	307.948E-12	-54.2060E+0
535.624E-3	31.3223E+3	296.987E-12	-56.1372E+0
526.309E-3	31.3223E+3	302.973E-12	-52.9654E+0
516.994E-3	31.3223E+3	319.418E-12	-59.4364E+0
507.679E-3	31.3223E+3	314.642E-12	-55.2581E+0
498.364E-3	31.3223E+3	318.951E-12	-56.3554E+0
489.049E-3	31.3223E+3	322.201E-12	-57.5504E+0
479.734E-3	31.3223E+3	348.892E-12	-57.3202E+0
470.419E-3	31.3223E+3	312.652E-12	-52.2699E+0
461.104E-3	31.3223E+3	354.879E-12	-60.3885E+0
451.789E-3	31.3223E+3	336.500E-12	-48.7287E+0
442.474E-3	31.3223E+3	363.916E-12	-56.6534E+0
433.159E-3	31.3223E+3	365.721E-12	-51.2706E+0
423.844E-3	31.3223E+3	373.741E-12	-58.6559E+0
414.528E-3	31.3223E+3	381.053E-12	-51.2521E+0
405.213E-3	31.3223E+3	366.126E-12	-54.9399E+0
395.898E-3	31.3223E+3	417.747E-12	-52.6964E+0
386.583E-3	31.3223E+3	370.415E-12	-56.4061E+0
377.268E-3	31.3223E+3	425.729E-12	-52.1384E+0
367.953E-3	31.3223E+3	398.908E-12	-56.3723E+0
358.638E-3	31.3223E+3	422.551E-12	-51.0684E+0
349.323E-3	31.3223E+3	434.432E-12	-54.5776E+0
