Experiment	Frequency Sweep	
Date	30.04.2017 16:50:36	
User		
f_res (Hz)	31692.5183	
Q	17681	
Phase (deg)	-59.97	
Amp/Exc (nm/mV)	0.319250	
Number of points	512	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-6.69061E+0	31.6915E+3	370.835E-12	87.6958E+0
-6.61585E+0	31.6915E+3	374.945E-12	87.3450E+0
-6.54110E+0	31.6915E+3	379.086E-12	87.4081E+0
-6.46634E+0	31.6915E+3	381.038E-12	87.5797E+0
-6.39159E+0	31.6915E+3	386.884E-12	87.2659E+0
-6.31683E+0	31.6915E+3	388.749E-12	87.2200E+0
-6.24208E+0	31.6915E+3	393.608E-12	87.4495E+0
-6.16732E+0	31.6915E+3	398.541E-12	86.6021E+0
-6.09257E+0	31.6915E+3	403.728E-12	87.2307E+0
-6.01781E+0	31.6915E+3	403.472E-12	87.3575E+0
-5.94306E+0	31.6915E+3	404.813E-12	87.5203E+0
-5.86830E+0	31.6915E+3	411.657E-12	87.3936E+0
-5.79354E+0	31.6915E+3	415.625E-12	87.2791E+0
-5.71879E+0	31.6915E+3	421.290E-12	86.9899E+0
-5.64403E+0	31.6915E+3	422.902E-12	86.9743E+0
-5.56928E+0	31.6915E+3	430.171E-12	87.1055E+0
-5.49452E+0	31.6915E+3	434.450E-12	86.8285E+0
-5.41977E+0	31.6915E+3	440.151E-12	86.6452E+0
-5.34501E+0	31.6915E+3	444.040E-12	86.7883E+0
-5.27026E+0	31.6915E+3	448.314E-12	86.5466E+0
-5.19550E+0	31.6915E+3	452.018E-12	86.5272E+0
-5.12075E+0	31.6915E+3	459.446E-12	86.5705E+0
-5.04599E+0	31.6915E+3	462.915E-12	86.2169E+0
-4.97124E+0	31.6915E+3	469.524E-12	86.4104E+0
-4.89648E+0	31.6915E+3	478.356E-12	86.0916E+0
-4.82173E+0	31.6915E+3	480.032E-12	86.5458E+0
-4.74697E+0	31.6915E+3	485.283E-12	86.1283E+0
-4.67222E+0	31.6915E+3	493.558E-12	85.8203E+0
-4.59746E+0	31.6915E+3	498.151E-12	85.7212E+0
-4.52271E+0	31.6915E+3	507.121E-12	85.7044E+0
-4.44795E+0	31.6915E+3	512.323E-12	85.4364E+0
-4.37320E+0	31.6915E+3	520.287E-12	85.6937E+0
-4.29844E+0	31.6915E+3	524.361E-12	85.2035E+0
-4.22369E+0	31.6915E+3	531.355E-12	85.0619E+0
-4.14893E+0	31.6915E+3	539.699E-12	85.0085E+0
-4.07418E+0	31.6915E+3	552.366E-12	85.5925E+0
-3.99942E+0	31.6915E+3	555.213E-12	85.0129E+0
-3.92466E+0	31.6915E+3	560.166E-12	84.9488E+0
-3.84991E+0	31.6915E+3	568.690E-12	84.6447E+0
-3.77515E+0	31.6915E+3	575.141E-12	84.3210E+0
-3.70040E+0	31.6915E+3	590.514E-12	84.5271E+0
-3.62564E+0	31.6915E+3	597.882E-12	84.4341E+0
-3.55089E+0	31.6915E+3	610.137E-12	84.2886E+0
-3.47613E+0	31.6915E+3	617.492E-12	84.3435E+0
-3.40138E+0	31.6915E+3	630.527E-12	84.2356E+0
-3.32662E+0	31.6915E+3	640.999E-12	83.7205E+0
-3.25187E+0	31.6915E+3	655.630E-12	83.7651E+0
-3.17711E+0	31.6915E+3	663.007E-12	83.1356E+0
-3.10235E+0	31.6915E+3	677.071E-12	83.4304E+0
-3.02760E+0	31.6915E+3	678.528E-12	82.7892E+0
-2.95284E+0	31.6915E+3	697.220E-12	82.1778E+0
-2.87809E+0	31.6915E+3	709.365E-12	82.1761E+0
-2.80333E+0	31.6915E+3	722.823E-12	82.4329E+0
-2.72858E+0	31.6915E+3	737.912E-12	82.3792E+0
-2.65382E+0	31.6915E+3	744.516E-12	81.7242E+0
-2.57907E+0	31.6915E+3	758.758E-12	81.5347E+0
-2.50431E+0	31.6915E+3	780.177E-12	81.2198E+0
-2.42956E+0	31.6915E+3	796.889E-12	80.7741E+0
-2.35480E+0	31.6915E+3	820.322E-12	80.4751E+0
-2.28005E+0	31.6915E+3	834.882E-12	80.1301E+0
-2.20529E+0	31.6915E+3	847.813E-12	79.7841E+0
-2.13053E+0	31.6915E+3	866.905E-12	79.5844E+0
-2.05578E+0	31.6915E+3	887.859E-12	79.2893E+0
-1.98102E+0	31.6915E+3	907.286E-12	78.8562E+0
-1.90627E+0	31.6915E+3	934.549E-12	78.1474E+0
-1.83151E+0	31.6915E+3	952.909E-12	78.0454E+0
-1.75676E+0	31.6915E+3	975.714E-12	77.4333E+0
-1.68200E+0	31.6915E+3	999.839E-12	77.0492E+0
-1.60725E+0	31.6915E+3	1.03145E-9	76.1133E+0
-1.53249E+0	31.6915E+3	1.04972E-9	75.8570E+0
-1.45774E+0	31.6915E+3	1.08749E-9	75.3626E+0
-1.38298E+0	31.6915E+3	1.11323E-9	74.8535E+0
-1.30822E+0	31.6915E+3	1.14268E-9	74.6257E+0
-1.23347E+0	31.6915E+3	1.17076E-9	73.4276E+0
-1.15871E+0	31.6915E+3	1.21298E-9	72.9770E+0
-1.08396E+0	31.6915E+3	1.24614E-9	72.1391E+0
-1.00920E+0	31.6915E+3	1.28467E-9	71.3232E+0
-934.447E-3	31.6915E+3	1.30546E-9	70.0734E+0
-859.692E-3	31.6915E+3	1.34347E-9	69.5298E+0
-784.937E-3	31.6915E+3	1.40896E-9	68.6302E+0
-710.181E-3	31.6915E+3	1.44431E-9	67.4408E+0
-635.426E-3	31.6915E+3	1.49102E-9	66.9162E+0
-560.670E-3	31.6915E+3	1.55311E-9	65.6515E+0
-485.915E-3	31.6915E+3	1.59782E-9	64.6533E+0
-411.160E-3	31.6915E+3	1.66043E-9	63.3140E+0
-336.404E-3	31.6915E+3	1.72431E-9	62.0353E+0
-261.649E-3	31.6915E+3	1.79640E-9	60.5310E+0
-186.894E-3	31.6915E+3	1.86230E-9	59.1269E+0
-112.138E-3	31.6915E+3	1.93811E-9	57.2744E+0
-37.3829E-3	31.6915E+3	2.01931E-9	55.4597E+0
37.3725E-3	31.6915E+3	2.11335E-9	53.4035E+0
112.128E-3	31.6915E+3	2.20014E-9	51.5570E+0
186.883E-3	31.6915E+3	2.29775E-9	49.2651E+0
